name,lang,new stars
Snailclimb/JavaGuide,Java,4275
spring-projects/spring-boot,Java,954
macrozheng/mall,Java,1772
netty/netty,Java,499
TheAlgorithms/Java,Java,1806
alibaba/p3c,Java,648
eugenp/tutorials,Java,597
hankcs/HanLP,Java,1331
didi/DoraemonKit,Java,1324
apache/skywalking,Java,521
xuxueli/xxl-job,Java,565
wuyouzhuguli/SpringAll,Java,946
alibaba/Sentinel,Java,591
alibaba/nacos,Java,574
zhangdaiscott/jeecg-boot,Java,1049
frank-lam/fullstack-tutorial,Java,1069
hyb1996/Auto.js,Java,1048
quarkusio/quarkus,Java,461
zhisheng17/flink-learning,Java,783
confluentinc/ksql,Java,378
Exrick/x-boot,Java,308
Anuken/Mindustry,Java,572
openjdk/jdk,Java,205
Netflix/mantis,Java,620
android/media-samples,Java,49
