name,lang,new stars
daneden/animate.css,CSS,738
necolas/normalize.css,CSS,395
Tencent/weui,CSS,269
houshanren/hangzhou_house_knowledge,CSS,641
tailwindcss/tailwindcss,CSS,1742
iissnan/hexo-theme-next,CSS,141
philipwalton/solved-by-flexbox,CSS,414
mdbootstrap/bootstrap-material-design,CSS,254
TalkingData/iview-weapp,CSS,135
xtyxtyx/sorry,CSS,448
theme-next/hexo-theme-next,CSS,244
microsoft/vscode-docs,CSS,62
danderson/metallb,CSS,104
TryGhost/Casper,CSS,36
blinkfox/hexo-theme-matery,CSS,187
pmarsceill/just-the-docs,CSS,82
udacity/course-collaboration-travel-plans,CSS,12
GoogleChrome/web.dev,CSS,106
vinceliuice/Mojave-gtk-theme,CSS,206
cobidev/simplefolio,CSS,309
YGYOOO/WeChat-Shelter,CSS,174
jerryc127/hexo-theme-butterfly,CSS,98
tailwindcss/designing-with-tailwindcss,CSS,58
morpheusthewhite/spicetify-themes,CSS,61
AgoraIO/Basic-Video-Call,CSS,21
