name,lang,new stars
shadowsocks/shadowsocks-windows,C#,1251
aspnet/AspNetCore,C#,577
dotnet-architecture/eShopOnContainers,C#,371
MaterialDesignInXAML/MaterialDesignInXamlToolkit,C#,217
cefsharp/CefSharp,C#,141
GoogleCloudPlatform/microservices-demo,C#,290
MahApps/MahApps.Metro,C#,123
dotnet/orleans,C#,457
JeffreySu/WeiXinMPSDK,C#,134
jellyfin/jellyfin,C#,330
microsoft/msbuild,C#,29
StackExchange/StackExchange.Redis,C#,74
2dust/v2rayN,C#,1130
egametang/ET,C#,116
microsoft/BotBuilder-Samples,C#,77
davidfowl/AspNetCoreDiagnosticScenarios,C#,204
huiyadanli/RevokeMsgPatcher,C#,1100
microsoft/microsoft-ui-xaml,C#,203
danielgerlag/workflow-core,C#,182
dockersamples/example-voting-app,C#,60
dotnet/try,C#,108
microsoft/WinAppDriver,C#,69
Azure/iotedge,C#,43
Semmle/ql,C#,118
Azure-Samples/cognitive-services-speech-sdk,C#,33
