name,lang,new stars
jekyll/jekyll,Ruby,62
fastlane/fastlane,Ruby,86
huginn/huginn,Ruby,90
plataformatec/devise,Ruby,22
Homebrew/brew,Ruby,79
hashicorp/vagrant,Ruby,50
rapid7/metasploit-framework,Ruby,123
ruby/ruby,Ruby,24
twbs/bootstrap-sass,Ruby,4
sinatra/sinatra,Ruby,13
mperham/sidekiq,Ruby,21
activeadmin/activeadmin,Ruby,10
fluent/fluentd,Ruby,32
github/linguist,Ruby,20
thoughtbot/factory_bot,Ruby,11
ruby-concurrency/concurrent-ruby,Ruby,11
github/markup,Ruby,7
rmosolgo/graphql-ruby,Ruby,14
shrinerb/shrine,Ruby,11
oracle/truffleruby,Ruby,22
chatwoot/chatwoot,Ruby,436
sorbet/sorbet,Ruby,25
citation-style-language/styles,Ruby,8
elastic/ansible-elasticsearch,Ruby,9
dependabot/dependabot-core,Ruby,19
