name,lang,new stars
PowerShell/PowerShell,C#,83
aspnet/AspNetCore,C#,143
0xd4d/dnSpy,C#,94
dotnet/coreclr,C#,29
dotnet-architecture/eShopOnContainers,C#,79
MaterialDesignInXAML/MaterialDesignInXamlToolkit,C#,60
aspnet/AspNetCore.Docs,C#,44
MonoGame/MonoGame,C#,27
dotnet/csharplang,C#,28
JeremySkinner/FluentValidation,C#,27
lambci/docker-lambda,C#,42
nopSolutions/nopCommerce,C#,30
xamarin/Xamarin.Forms,C#,26
2dust/v2rayN,C#,286
PrismLibrary/Prism,C#,25
microsoft/MixedRealityToolkit-Unity,C#,20
QuantConnect/Lean,C#,32
JasonGT/NorthwindTraders,C#,41
microsoft/BotBuilder-Samples,C#,17
davidfowl/AspNetCoreDiagnosticScenarios,C#,81
mob-sakai/UIEffect,C#,34
Azure/azure-sdk-for-net,C#,10
confluentinc/confluent-kafka-dotnet,C#,12
kwsch/PKHeX,C#,32
Azure-Samples/active-directory-aspnetcore-webapp-openidconnect-v2,C#,7
