name,lang,new stars
ripienaar/free-for-dev,HTML,665
google/styleguide,HTML,85
facebookresearch/fastText,HTML,60
lnishan/awesome-competitive-programming,HTML,53
phil-opp/blog_os,HTML,60
froala/wysiwyg-editor,HTML,34
gcushen/hugo-academic,HTML,50
jdorn/sql-formatter,HTML,42
golang-china/gopl-zh,HTML,67
HT524/500LineorLess_CN,HTML,45
squidfunk/mkdocs-material,HTML,27
jwasham/computer-science-flash-cards,HTML,23
2factorauth/twofactorauth,HTML,21
kubernetes/website,HTML,35
clong/DetectionLab,HTML,38
doocs/technical-books,HTML,83
DefectDojo/django-DefectDojo,HTML,5
googlecodelabs/tools,HTML,23
DarkSecDevelopers/HiddenEye,HTML,21
sprov065/v2-ui,HTML,68
vasturiano/3d-force-graph,HTML,18
biaochenxuying/blog,HTML,48
HiddenStrawberry/Crawler_Illegal_Cases_In_China,HTML,167
v2ray/manual,HTML,25
javascript-tutorial/ko.javascript.info,HTML,48
